店名,wifi 穩定,通常有空位,安靜程度,咖啡好喝,價格便宜,裝潢/音樂佳,營業時間,捷運站,有無限時,插座多,可站立工作,推薦人,備註,地址,網站,
季洋莊園咖啡隨行吧民族店,,,,,,,,文化中心/信義國小,,,,YanAnn,算是平價,高雄市新興區民族二路65-1號,https://www.facebook.com/pages/%E5%AD%A3%E6%B4%8B%E8%8E%8A%E5%9C%92%E5%92%96%E5%95%A1%E9%9A%A8%E8%A1%8C%E5%90%A7%E6%B0%91%E6%97%8F%E5%BA%97/192027707635318?ref=stream,
Cuiqu Coffee(奎克咖啡),5.0 ★,3.0 ★,4.0 ★,5.0 ★,3.0 ★,5.0 ★,8:00-22:00,凹子底,NO,多,NO,Jino,,高雄市鼓山區博愛二路236號,https://www.facebook.com/cuiqucoffee/,
威爾希斯,,,,,,,,西子灣,,,,YanAnn,為中山校園內之咖啡店，露天。但我覺得不好喝...踩過幾次ESP的雷。,高雄市鼓山區蓮海路70號,,
卡啡那 CAFFAINA 美術館店,5.0 ★,1.0 ★,2.0 ★,5.0 ★,4.0 ★,5.0 ★,09:00-24:00,,NO,多,,Jino,,高雄市鼓山區美術東二路3號,http://www.caffaina.com/,
亨利咖啡(西子灣),,,,,,,,西子灣,,,,YanAnn,近中山大，營業時間難抓，裝潢很狂。,高雄市鼓山區哨船街75-18號,https://www.facebook.com/henryscoffeetw/?fref=ts,
羅斯朵。晴天現烘咖啡,3.0 ★,4.0 ★,3.0 ★,        5.0 ★,        5.0 ★,        3.0 ★,7:30 - 22:30,文化中心站,NO,尚可,YES,Vicky,價格便宜口味也不錯，二樓可看到文化中心綠地,高雄市苓雅區廣州一街143-5號(文化中心西側門),https://www.facebook.com/sunnyday.cafe.roaster/,
咖啡鳥咖啡館,5.0 ★,5.0 ★,5.0 ★,4.0 ★,4.0 ★,5.0 ★,"平日 9:00 - 17:00
例假日 8:30~17:30",NO,NO,多,NO,Elisa,,高雄市苓雅區青年一路24號,https://www.facebook.com/caffe.bird.coffee/,
Sunnyday Cafe Roaster(羅斯朵.晴天現烘咖啡新光店),5.0 ★,4.0 ★,4.0 ★,5.0 ★,5.0 ★,5.0 ★,8:00-19:00,,NO,多,NO,Steven,,高雄市苓雅區新光路54號,https://www.facebook.com/sunnyday.cafe.roaster2/,
多那之(中正),,        1.0 ★,        1.0 ★,        3.0 ★,,        2.0 ★,,五塊厝,NO,無,NO,YanAnn,2F提供沙發座位。連鎖的咖啡店多那茲，喝起來大概跟85c差不多。,高雄市苓雅區中正一路288號,,
BuCafe 不咖啡,5.0 ★,5.0 ★,5.0 ★,5.0 ★,4.0 ★,4.0 ★,13:00-23:00,,NO,尚可,NO,PedroChien,店休日請參考粉絲團。,高雄市鼓山區美術南二路2號,https://www.facebook.com/bubucafe/about/,
MiS Cafe 謎思咖啡,5.0 ★,5.0 ★,5.0 ★,5.0 ★,4.0 ★,5.0 ★,8:00 - 18:00,NO,NO,尚可,NO,Elisa,,高雄市前金區市中一路167號,https://www.facebook.com/MISCOFFEE/,
暮色森林,5.0 ★,5.0 ★,4.0 ★,4.0 ★,5.0 ★,5.0 ★,13:00~24:00                     週一15:00~24:00,鹽埕埔站，中央公園站,NO,多,YES,tobeme,吉他人聚會每週五固定舉辦 烏克麗麗聚會每週六固定舉辦 其他每月不定期音樂電影等活動見FB官網,高雄市前金區市中一路2-2號,https://www.facebook.com/duskwood2015/,
In-Lane內向咖啡,5.0 ★,5.0 ★,5.0 ★,5.0 ★,4.0 ★,5.0 ★,10:30 - 19:00,市議會,NO,多,NO,Elisa,咖啡很好喝，整個氣氛超棒很適合工作或看書,高雄市前金區市中一路268號,https://www.facebook.com/inlanecafe/,
always a+,5.0 ★,3.0 ★,3.0 ★,4.0 ★,4.0 ★,4.0 ★,08:00 - 18:00,中央公園,NO,尚可,NO,Elisa,,高雄市前金區新田路217號,https://www.facebook.com/Always-A-%E5%92%96%E5%95%A1%E9%A4%A8-195980383748847/,
Bikecoffee - 拜克咖啡        ,5.0 ★,5.0 ★,5.0 ★,5.0 ★,4.0 ★,4.0 ★,12:00-22:00,,NO,尚可,NO,PedroChien,營業是否休息請參考粉絲團，手沖咖啡非常有特色。,高雄市三民區林森一路345巷13號,https://www.facebook.com/Bikecoffee-%E6%8B%9C%E5%85%8B%E5%92%96%E5%95%A1-142406032633950/,
移動咖啡 (進駐於高雄個共作空間),5.0 ★,5.0 ★,5.0 ★,5.0 ★,4.0 ★,5.0 ★,"二-五16:00-20:00
六日 14:00-21:00",,NO,多,yes,Lara yu,進駐於高雄知名的共同工作空間，喝咖啡工作之餘，會認識各行各業在工作室裡的工作者，想帶著刺青走也沒問題。,高雄市三民區熱河二街六巷16號,"https://www.facebook.com/mobile.coffe/
",
612號月光海洋咖啡館,,請去過的人評分,,        5.0 ★,4.0 ★,        4.0 ★,        4.0 ★ ,,NO,,多,NO,Elisa,飲料好喝，早午餐份量超夠,高雄市三民區同盟三路198號,https://www.facebook.com/jtowercafe/?fref=ts
Cafe strada(步道咖啡館),5.0 ★,3.0 ★,4.0 ★,5.0 ★,4.0 ★,5.0 ★,,文化中心,NO,多,?,Jooe,,高雄市新興區中正二路67號,https://www.facebook.com/Caf%C3%A9-Strada-%E6%AD%A5%E9%81%93%E5%92%96%E5%95%A1-131409216946863/?fref=ts,
興趣xsimtree,請去過的人評分,        4.0 ★,        2.0 ★,        5.0 ★,        4.0 ★,        5.0 ★,,信義國小站 ,NO,尚可,YES,Winnie,,高雄市新興區中正三路73號,https://www.facebook.com/simtree.tw/,
MARS睦工場風格餐廳,5.0 ★,4.0 ★,3.0 ★,,4.0 ★,4.0 ★,10:00-22:00,鹽埕埔,NO,尚可,?,Gina,,高雄市鹽埕區大勇路 80 號,https://www.facebook.com/MarsCube,
