店名,wifi 穩定,通常有空位,安靜程度,咖啡好喝,價格便宜,裝潢/音樂佳,行政區,營業時間,有無限時,插座多,可站立工作,推薦人,備註,地址,網站,
貓爪子咖啡 Cat's Claw Brunch & Cafe',5.0 ★,4.5 ★,4.0 ★,5.0 ★,4.5 ★,5.0 ★,北區,"週二~週日: 10:00 - 21:00
週一公休",無,Yes,no,Sandy,有一、二樓，座位多，還有可愛店貓！,台中市北區大德街131號,https://www.facebook.com/CatsClawCafe/,
The Naked Cafe 熊抱尼克,5.0 ★,5.0 ★,5.0 ★,4.0 ★,4.0 ★,4.0 ★,北區,,無,很多,無,stan,,台中市北區五權路408號,https://www.facebook.com/The-Naked-Cafe-%E7%86%8A%E6%8A%B1%E5%B0%BC%E5%85%8B-522958141084236/,
艸田 空間,4.5 ★,5.0 ★,5.0 ★,5.0 ★,5.0 ★,5.0 ★,北區,10:00 - 22:00,無,夠用,Yes,Trisha,來過一次就會被老闆記住，從此之後像朋友般的來，最後會變成秘密基地的好地方。鄰近綠園道，蚊子稍多請注意。,台中市北區育德路131巷6號,https://www.facebook.com/mellow.club1316/,
In Cafe 浸在咖啡        ,5.0 ★,3.5 ★,4.5 ★,5.0 ★,4.0 ★,5.0 ★,北區,08:00-17:00(週四店休),無,夠用,no,,鬆餅好吃，老闆親切好聊天，環境舒服旁邊有綠園道，落地窗看出去很放鬆恬靜 !,台中市北區育德路201號1樓,https://www.facebook.com/myincafe,
羊毛馬路咖啡,5.0 ★,5.0 ★,5.0 ★,5.0 ★,,,北區,14:00-02:00(週一公休，但可預約),無,yes,yes,,寵物友善店，可以帶外食，禁帶外飲品，沙發很好坐，老闆親切,台中市北區原子街154號,https://www.facebook.com/woolroad/,
綠爵輕食館 LEISURELY CAFÉ,5.0 ★,4.0 ★,4.5 ★,5.0 ★,5.0 ★,5.0 ★,北屯區,週一~週六: 11:00 - 22:00,無,no,no,,"餐點多樣好吃,環境舒適,令人放鬆的地方",台中市北屯區東山路一段218巷2號,https://www.facebook.com/leisurelyNcafe/,
MT49芒果樹49號咖啡店,5.0 ★,4.5 ★,4.0 ★,4.5 ★,2.5 ★,4.5 ★,北屯區,週一~週日: 10:30 - 21:00,無,yes,高腳座位可,Ming,,"台中市北屯區后庄七街49號
",https://www.facebook.com/MT49cafe,
漫時意境,5.0 ★,5.0 ★,4.5 ★,4.0 ★,4.0 ★,3.0 ★,太平區,預約式及週三~週日: 14:00 - 17:00,無,夠用,無,han,位子少,台中市北屯區建和路一段20號,https://www.facebook.com/LHTeaTime/?ref=aymt_homepage_panel,
Brewband Coffee,,5.0 ★,4.0 ★,5.0 ★,5.0 ★,4.0 ★,5.0 ★,大甲區,"13:00 - 22:00 
但有時沒開",無,,,,去之前最好去看臉書,台中市大甲區民生路53巷15號,https://www.facebook.com/brewbandco/
小幸福咖啡,,5.0 ★,3.5 ★,3.0 ★,,,,豐原區,週一公休，週二~週日9:00~18:00,無,yes,,,可帶寵物，不過位置不多,台中市豐原區西勢路690號,http://mildcafe2015.pixnet.net/blog
