店名,wifi 穩定,通常有空位,安靜程度,咖啡好喝,價格便宜,裝潢/音樂佳,營業時間,捷運站,地址,有無限時,插座多,可站立工作,推薦人,備註,網站
Cuiqu Coffee(奎克咖啡),5.0 ★,3.0 ★,4.0 ★,5.0 ★,3.0 ★,5.0 ★,08:00-22:00,凹子底,高雄市鼓山區博愛二路236號,NO,多,NO,Jino,,https://www.facebook.com/cuiqucoffee/
威爾希斯,,,,,,,,西子灣,高雄市鼓山區蓮海路70號,,,,YanAnn,為中山校園內之咖啡店，露天。但我覺得不好喝...踩過幾次ESP的雷。,
卡啡那 CAFFAINA 美術館店,5.0 ★,1.0 ★,2.0 ★,5.0 ★,4.0 ★,5.0 ★,09:00-24:00,NO,高雄市鼓山區美術東二路3號,NO,多,,Jino,,http://www.caffaina.com/
BuCafe 不咖啡,5.0 ★,5.0 ★,5.0 ★,5.0 ★,4.0 ★,4.0 ★,13:00-23:00,,高雄市鼓山區美術南二路2號,NO,尚可,NO,PedroChien,店休日請參考粉絲團。,https://www.facebook.com/bubucafe/about/
Buff Cafe,4.0 ★,4.5 ★,5.0 ★,5.0 ★,4.5 ★,4.5 ★,12:30-22:30,巨蛋（稍遠）,高雄市鼓山區慶豐街8號,NO,,NO,Claudius,手沖佳，咖啡新概念多,https://www.facebook.com/pg/BuffCafe/about/?tab=page_info
亨利咖啡(西子灣),5.0 ★,5.0 ★,5.0 ★,3.0 ★,4.0 ★,5.0 ★,,西子灣,高雄市鼓山區哨船街75-18號,,尚可,NO,YanAnn,近中山大，營業時間難抓，裝潢很狂。,https://www.facebook.com/henryscoffeetw/?fref=ts
羅斯朵。晴天現烘咖啡,3.0 ★,4.0 ★,3.0 ★,5.0 ★,5.0 ★,3.0 ★,07:30 - 22:30,文化中心,高雄市苓雅區廣州一街143-5號(文化中心西側門),NO,尚可,YES,Vicky,價格便宜口味也不錯，二樓可看到文化中心綠地,https://www.facebook.com/sunnyday.cafe.roaster/
廿十二味,4.0 ★,4.0 ★,5.0 ★,4.5 ★,4.0 ★,4.5 ★,12:00-24:00,中央公園/輕軌C10站（未通車）,高雄市苓雅區海邊路64巷1號,,,NO,Claudius,甜點好吃，啤酒種類多但燈光偏暗,https://www.facebook.com/TwentyTwelveTaste/
咖啡鳥咖啡館,5.0 ★,5.0 ★,5.0 ★,4.0 ★,4.0 ★,5.0 ★,"平日 09:00 - 17:00
例假日 08:30~17:30",NO,高雄市苓雅區青年一路24號,NO,多,NO,Elisa,,https://www.facebook.com/caffe.bird.coffee/
Sunnyday Cafe Roaster(羅斯朵.晴天現烘咖啡新光店),5.0 ★,4.0 ★,4.0 ★,5.0 ★,5.0 ★,5.0 ★,08:00-19:00,,高雄市苓雅區新光路54號,NO,多,NO,Steven,,https://www.facebook.com/sunnyday.cafe.roaster2/
