店名,wifi 穩定,通常有空位,安靜程度,咖啡好喝,價格便宜,裝潢/音樂佳,營業時間,行政區,地址,有無限時,插座多,可站立工作,推薦人,備註,網站
Sola Caffé 手拉咖啡,2.5 ★,5.0 ★,3.5 ★,3.5 ★,3.5 ★,5.0 ★,15:00~01:00,北區,台中市北區崇德路一段479號,無,yes,Yes,radishs,甜點飲料選擇多樣，餐點只有輕食，所有位子幾乎都有插座，空調超強。,http://www.solacaffe.com
貓爪子咖啡 Cat's Claw Brunch & Cafe',5.0 ★,4.5 ★,4.0 ★,5.0 ★,4.5 ★,5.0 ★,10:00 - 21:00 週一公休,北區,台中市北區大德街131號,無,Yes,no,Sandy,有一、二樓，座位多，還有可愛店貓！,https://www.facebook.com/CatsClawCafe/
The Naked Cafe 熊抱尼克,5.0 ★,5.0 ★,5.0 ★,4.0 ★,4.0 ★,4.0 ★,,北區,台中市北區五權路408號,無,很多,無,stan,,https://www.facebook.com/The-Naked-Cafe-%E7%86%8A%E6%8A%B1%E5%B0%BC%E5%85%8B-522958141084236/
Café Mambo 漫波,4.5 ★,5.0 ★,4.5 ★,4.5 ★,4.5 ★,5.0 ★,15:00~01:00,北區,台中市北區五權路594號,無,yes,yes,,,https://www.facebook.com/cafemambo.tw/
艸田 空間,4.5 ★,5.0 ★,5.0 ★,5.0 ★,5.0 ★,5.0 ★,10:00 - 22:00,北區,台中市北區育德路131巷6號,無,夠用,Yes,Trisha,來過一次就會被老闆記住，從此之後像朋友般的來，最後會變成秘密基地的好地方。鄰近綠園道，蚊子稍多請注意。,https://www.facebook.com/mellow.club1316/
In Cafe 浸在咖啡,5.0 ★,3.5 ★,4.5 ★,5.0 ★,4.0 ★,5.0 ★,08:00-17:00 (週四店休),北區,台中市北區育德路201號1樓,無,夠用,no,,鬆餅好吃，老闆親切好聊天，環境舒服旁邊有綠園道，落地窗看出去很放鬆恬靜 !,https://www.facebook.com/myincafe
羊毛馬路咖啡,5.0 ★,5.0 ★,5.0 ★,5.0 ★,,,14:00-02:00 (週一公休，但可預約),北區,台中市北區原子街154號,無,yes,yes,,寵物友善店，可以帶外食，禁帶外飲品，沙發很好坐，老闆親切,https://www.facebook.com/woolroad/
綠爵輕食館 LEISURELY CAFÉ,5.0 ★,4.0 ★,4.5 ★,5.0 ★,5.0 ★,5.0 ★,11:00 - 22:00 周日休,北屯區,台中市北屯區東山路一段218巷2號,無,no,no,,"餐點多樣好吃,環境舒適,令人放鬆的地方",https://www.facebook.com/leisurelyNcafe/
MT49芒果樹49號咖啡店,5.0 ★,4.5 ★,4.0 ★,4.5 ★,2.5 ★,4.5 ★,10:30 - 21:00,北屯區,"台中市北屯區后庄七街49號
",無,yes,高腳座位可,Ming,,https://www.facebook.com/MT49cafe
漫時意境,5.0 ★,5.0 ★,4.5 ★,4.0 ★,4.0 ★,3.0 ★,預約式及週三~週日: 14:00 - 17:00,太平區,台中市北屯區建和路一段20號,無,夠用,無,han,位子少,https://www.facebook.com/LHTeaTime/?ref=aymt_homepage_panel
Brewband Coffee,5.0 ★,4.0 ★,5.0 ★,5.0 ★,4.0 ★,5.0 ★,"13:00 - 22:00
但有時沒開",大甲區,台中市大甲區民生路53巷15號,無,,,,去之前最好去看臉書,https://www.facebook.com/brewbandco/
小幸福咖啡,5.0 ★,3.5 ★,3.0 ★,,,,09:00~18:00 週一公休,豐原區,台中市豐原區西勢路690號,無,yes,,,可帶寵物，不過位置不多,http://mildcafe2015.pixnet.net/blog
Sweet Cafe,0,3.0 ★,5.0 ★,5.0 ★,3.0 ★,3.0 ★,,南區,台中市南區國光路156之8號,無,普普,yes,Ming,咖啡烘焙冠軍的店，下午3點才會開喔,https://www.facebook.com/pages/Sweet-Cafe/143040699093705
虎姑婆烘焙坊,5.0 ★,5.0 ★,5.0 ★,4.0 ★,4.0 ★,4.0 ★,11:00~21:00                  星期日、一公休,南區,台中市南區國光路387-6號,無,夠用,無,Anna,,https://www.facebook.com/虎姑婆烘培坊-Lady-Tiger每周日周一店休-106465272881585/
CoffeeEAH,5.0 ★,4.5 ★,4.0 ★,4.5 ★,4.5 ★,4.5 ★,"12:00～20:00                 星期日公休
",南屯區,台中市南屯區大墩七街493號,無,普普,高腳座位可,Ming,,https://www.facebook.com/coffeeeah
Cafe Muah,5.0 ★,5.0 ★,2.5 ★,3.0 ★,4.0 ★,4.0 ★,09:00 - 20:00,南屯區,台中市南屯區大墩十七街35號,客滿時,yes,yes,Dozz,音樂偏大聲，但顧客聲音還好,https://www.facebook.com/muahxmuah/
